2024.11.24 18:21:21 INFO  Started: Metals version 1.4.1 in folders 'C:\FP\FPLab\lab_1' for client Visual Studio Code 1.95.3.
2024.11.24 18:21:22 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2024.11.24 18:21:25 INFO  running 'C:\Users\toorr\AppData\Local\Coursier\cache\arc\https\github.com\adoptium\temurin17-binaries\releases\download\jdk-17.0.13%252B11\OpenJDK17U-jdk_x64_windows_hotspot_17.0.13_11.zip\jdk-17.0.13+11\bin\java.exe -Djline.terminal=jline.UnsupportedTerminal -Dsbt.log.noformat=true -Dfile.encoding=UTF-8 -jar C:\Users\toorr\AppData\Local\Temp\metals2852771688708284467\sbt-launch.jar -Dbloop.export-jar-classifiers=sources bloopInstall'
2024.11.24 18:21:26 INFO  [info] welcome to sbt 1.10.5 (Eclipse Adoptium Java 17.0.13)
2024.11.24 18:21:28 INFO  [info] loading settings for project lab_1-build-build from metals.sbt ...
2024.11.24 18:21:28 INFO  [info] loading project definition from C:\FP\FPLab\lab_1\project\project
2024.11.24 18:21:31 INFO  [info] loading settings for project lab_1-build from metals.sbt ...
2024.11.24 18:21:31 INFO  [info] loading project definition from C:\FP\FPLab\lab_1\project
2024.11.24 18:21:33 INFO  [success] Generated .bloop\lab_1-build.json
2024.11.24 18:21:33 INFO  [success] Total time: 2 s, completed 24 нояб. 2024 г., 18:21:33
2024.11.24 18:21:34 INFO  [info] loading settings for project lab_1 from build.sbt ...
2024.11.24 18:21:34 INFO  [info] set current project to hello-world (in build file:/C:/FP/FPLab/lab_1/)
2024.11.24 18:21:34 INFO  [success] Generated .bloop\lab_1-test.json
2024.11.24 18:21:34 INFO  [success] Generated .bloop\lab_1.json
2024.11.24 18:21:34 INFO  [success] Total time: 0 s, completed 24 нояб. 2024 г., 18:21:35
2024.11.24 18:21:35 INFO  time: ran 'sbt bloopInstall' in 9.9s
2024.11.24 18:21:35 INFO  Attempting to connect to the build server...
2024.11.24 18:21:35 INFO  Found a Bloop server running
2024.11.24 18:21:35 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\FP\FPLab\lab_1\.metals\bsp.trace.json or C:\Users\toorr\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.11.24 18:21:35 INFO  Attempting to connect to the build server...
2024.11.24 18:21:35 INFO  Found a Bloop server running
2024.11.24 18:21:36 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\FP\FPLab\lab_1\project\.metals\bsp.trace.json or C:\Users\toorr\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.11.24 18:21:35 INFO  time: Connected to build server in 0.97s
2024.11.24 18:21:35 INFO  Connected to Build server: Bloop v2.0.5
2024.11.24 18:21:36 INFO  running doctor check
2024.11.24 18:21:36 INFO  java targets: lab_1-test, lab_1, lab_1-build
2024.11.24 18:21:39 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2024.11.24 18:21:45 INFO  time: indexed workspace in 9.03s
2024.11.24 18:21:45 INFO  compiling lab_1 (1 scala source)
2024.11.24 18:21:46 INFO  time: compiled lab_1 in 1.28s
2024.11.24 18:21:52 INFO  time: code lens generation in 1.72s
2024.11.24 18:22:06 INFO  running 'C:\Users\toorr\AppData\Local\Coursier\cache\arc\https\github.com\adoptium\temurin17-binaries\releases\download\jdk-17.0.13%252B11\OpenJDK17U-jdk_x64_windows_hotspot_17.0.13_11.zip\jdk-17.0.13+11\bin\java.exe -Djline.terminal=jline.UnsupportedTerminal -Dsbt.log.noformat=true -Dfile.encoding=UTF-8 -jar C:\Users\toorr\AppData\Local\Temp\metals2770636297423616844\sbt-launch.jar -Dbloop.export-jar-classifiers=sources bloopInstall'
2024.11.24 18:22:07 INFO  [info] welcome to sbt 1.10.5 (Eclipse Adoptium Java 17.0.13)
2024.11.24 18:22:07 INFO  [info] loading settings for project lab_1-build-build from metals.sbt ...
2024.11.24 18:22:08 INFO  [info] loading project definition from C:\FP\FPLab\lab_1\project\project
2024.11.24 18:22:08 INFO  [info] loading settings for project lab_1-build from metals.sbt ...
2024.11.24 18:22:08 INFO  [info] loading project definition from C:\FP\FPLab\lab_1\project
2024.11.24 18:22:11 INFO  [success] Generated .bloop\lab_1-build.json
2024.11.24 18:22:11 INFO  [success] Total time: 2 s, completed 24 нояб. 2024 г., 18:22:11
2024.11.24 18:22:13 INFO  [info] loading settings for project lab_1 from build.sbt ...
2024.11.24 18:22:13 INFO  [info] set current project to hello-world (in build file:/C:/FP/FPLab/lab_1/)
2024.11.24 18:22:15 INFO  [success] Generated .bloop\lab_1-test.json
2024.11.24 18:22:15 INFO  [success] Generated .bloop\lab_1.json
2024.11.24 18:22:15 INFO  [success] Total time: 1 s, completed 24 нояб. 2024 г., 18:22:15
2024.11.24 18:22:15 INFO  time: ran 'sbt bloopInstall' in 9.18s
2024.11.24 18:22:15 INFO  Disconnecting from Bloop session...
2024.11.24 18:22:15 INFO  Shut down connection with build server.
2024.11.24 18:22:15 INFO  Shut down connection with build server.
2024.11.24 18:22:15 INFO  Attempting to connect to the build server...
2024.11.24 18:22:15 INFO  Found a Bloop server running
2024.11.24 18:22:15 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\FP\FPLab\lab_1\.metals\bsp.trace.json or C:\Users\toorr\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.11.24 18:22:18 INFO  Attempting to connect to the build server...
2024.11.24 18:22:18 INFO  Found a Bloop server running
2024.11.24 18:22:18 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\FP\FPLab\lab_1\project\.metals\bsp.trace.json or C:\Users\toorr\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.11.24 18:22:18 INFO  time: Connected to build server in 3.04s
2024.11.24 18:22:18 INFO  Connected to Build server: Bloop v2.0.5
2024.11.24 18:22:18 INFO  running doctor check
2024.11.24 18:22:18 INFO  java targets: lab_1-test, lab_1, lab_1-build
2024.11.24 18:22:20 INFO  time: indexed workspace in 2.22s
2024.11.24 18:22:20 INFO  compiling lab_1 (1 scala source)
2024.11.24 18:22:23 INFO  compiling lab_1 (1 scala source)
2024.11.24 18:22:23 INFO  time: compiled lab_1 in 0.98s
2024.11.24 18:22:51 INFO  compiling lab_1 (1 scala source)
2024.11.24 18:22:51 INFO  time: compiled lab_1 in 0.63s
����. 24, 2024 6:24:59 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
2024.11.24 18:28:00 INFO  Shutting down server
2024.11.24 18:28:00 INFO  shutting down Metals
2024.11.24 18:28:00 INFO  Shut down connection with build server.
2024.11.24 18:28:00 INFO  Shut down connection with build server.
2024.11.24 18:28:00 INFO  Exiting server
